Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,,
C93,100n,C_0402_1005Metric,69.9,24.95,-90,T,,,,
C94,1u 16V,C_0603_1608Metric,18.2,11.65,0,T,,,,
C95,330p,C_0402_1005Metric,12.5,10.4,90,T,,,,
C96,330p,C_0402_1005Metric,28.5,10.4,90,T,,,,
C97,10n,C_0402_1005Metric,68.45,47.4,0,T,,,,
C98,10n,C_0402_1005Metric,68.4,54.6,0,T,,,,
C99,1u 16V,C_0603_1608Metric,34.2,11.65,0,T,,,,
C100,330p,C_0402_1005Metric,13.9,10.8,180,T,,,,
C101,330p,C_0402_1005Metric,29.9,10.85,180,T,,,,
C102,330p,C_0402_1005Metric,20.65,10.85,180,T,,,,
C103,330p,C_0402_1005Metric,19.15,16.75,0,T,,,,
C104,330p,C_0402_1005Metric,36.6,10.8,180,T,,,,
C105,330p,C_0402_1005Metric,35.15,16.7,0,T,,,,
C106,330p,C_0402_1005Metric,22.5,10.85,0,T,,,,
C107,330p,C_0402_1005Metric,38.5,10.8,0,T,,,,
C108,10n,C_0402_1005Metric,68.4,48.95,0,T,,,,
C109,10n,C_0402_1005Metric,68.4,53.65,0,T,,,,
C110,1u 16V,C_0603_1608Metric,42.05,18.9,0,T,,,,
C111,1u 16V,C_0603_1608Metric,58,18.85,0,T,,,,
C112,1u 16V,C_0603_1608Metric,68.6,35.3,-90,T,,,,
C113,100n,C_0402_1005Metric,69.8,35,90,T,,,,
C114,1u 16V,C_0603_1608Metric,50.1,11.65,0,T,,,,
C115,330p,C_0402_1005Metric,44.4,10.4,90,T,,,,
C116,330p,C_0402_1005Metric,60.4,10.35,90,T,,,,
C117,10n,C_0402_1005Metric,68.4,55.55,0,T,,,,
C118,10n,C_0402_1005Metric,65.85,58.65,0,T,,,,
C119,1u 16V,C_0603_1608Metric,66.1,11.6,0,T,,,,
C120,330p,C_0402_1005Metric,45.8,10.85,180,T,,,,
C121,330p,C_0402_1005Metric,61.8,10.8,180,T,,,,
C122,330p,C_0402_1005Metric,52.57,10.8,180,T,,,,
C123,330p,C_0402_1005Metric,51.05,16.7,0,T,,,,
C124,330p,C_0402_1005Metric,68.55,10.8,180,T,,,,
C125,330p,C_0402_1005Metric,67.05,16.7,0,T,,,,
C126,330p,C_0402_1005Metric,54.45,10.8,0,T,,,,
C127,330p,C_0402_1005Metric,70.45,10.8,0,T,,,,
C128,10n,C_0402_1005Metric,66.75,57.6,0,T,,,,
C129,10n,C_0402_1005Metric,68.4,56.5,0,T,,,,
C130,330p,C_0402_1005Metric,11.65,83.85,0,T,,,,
C131,330p,C_0402_1005Metric,27.55,83.85,0,T,,,,
C132,1u 16V,C_0603_1608Metric,14.1,84.5,0,T,,,,
C133,10n,C_0402_1005Metric,58.8,59.25,90,T,,,,
C134,10n,C_0402_1005Metric,57.85,59.25,90,T,,,,
C135,1u 16V,C_0603_1608Metric,29.95,84.5,0,T,,,,
C136,330p,C_0402_1005Metric,9.776436,83.853224,180,T,,,,
C137,330p,C_0402_1005Metric,25.7,83.85,180,T,,,,
C138,10n,C_0402_1005Metric,59.75,59.25,90,T,,,,
C139,10n,C_0402_1005Metric,60.7,59.25,90,T,,,,
C140,1u 16V,C_0603_1608Metric,45.6,65.15,0,T,,,,
C141,100n,C_0402_1005Metric,45.9,66.4,180,T,,,,
C142,100n,C_0402_1005Metric,18.85,76,0,T,,,,
C143,100n,C_0402_1005Metric,32.4,76.95,180,T,,,,
C144,100n,C_0402_1005Metric,16.95,79.6,-90,T,,,,
C145,100n,C_0402_1005Metric,32.85,79.6,-90,T,,,,
C146,100n,C_0402_1005Metric,33.575,64.0875,0,T,,,,
C147,10u 16V,C_0805_2012Metric,32.725,62.5875,0,T,,,,
C148,100uF 16V,CP_Elec_6.3x5.2,35.05,57.95,0,T,,,,
C149,4u7 16V,C_0603_1608Metric,35.225,63.0875,-90,T,,,,
C150,10n,C_0402_1005Metric,31.725,64.0875,0,T,,,,
C151,330p,C_0402_1005Metric,22.5,82.9,0,T,,,,
C152,330p,C_0402_1005Metric,16.5,82.85,180,T,,,,
C153,330p,C_0402_1005Metric,32.4,82.85,180,T,,,,
C154,330p,C_0402_1005Metric,38.37,82.85,0,T,,,,
C155,330p,C_0402_1005Metric,43.5075,83.85,0,T,,,,
C156,330p,C_0402_1005Metric,59.3,83.85,0,T,,,,
C157,1u 16V,C_0603_1608Metric,45.9,84.5,0,T,,,,
C158,10n,C_0402_1005Metric,61.65,59.25,90,T,,,,
C159,10n,C_0402_1005Metric,62.6,59.25,90,T,,,,
C160,1u 16V,C_0603_1608Metric,61.75,84.5,0,T,,,,
C161,330p,C_0402_1005Metric,41.65,83.85,180,T,,,,
C162,330p,C_0402_1005Metric,57.45,83.85,180,T,,,,
C163,10n,C_0402_1005Metric,65.75,65.35,180,T,,,,
C164,10n,C_0402_1005Metric,72.6,65.9,90,T,,,,
C165,1u 16V,C_0603_1608Metric,69.95,65.15,0,T,,,,
C166,100n,C_0402_1005Metric,70,66.35,180,T,,,,
C167,100n,C_0402_1005Metric,51.8,76,0,T,,,,
C168,100n,C_0402_1005Metric,64.2,76.8,180,T,,,,
C169,100n,C_0402_1005Metric,48.8,79.6,-90,T,,,,
C170,100n,C_0402_1005Metric,64.6,79.62,-90,T,,,,
C171,100n,C_0402_1005Metric,56.9,64.1,0,T,,,,
C172,10u 16V,C_0805_2012Metric,56.08,62.6,0,T,,,,
C173,100uF 16V,CP_Elec_6.3x5.2,71.15,60.55,0,T,,,,
C174,4u7 16V,C_0603_1608Metric,58.58,63.1,-90,T,,,,
C175,10n,C_0402_1005Metric,55.05,64.1,0,T,,,,
C176,330p,C_0402_1005Metric,54.35,82.85,0,T,,,,
C177,330p,C_0402_1005Metric,48.35,82.85,180,T,,,,
C178,330p,C_0402_1005Metric,64.15,82.9,180,T,,,,
C179,330p,C_0402_1005Metric,70.15,82.9,0,T,,,,
C180,100n,C_0402_1005Metric,19.7,42.15,0,T,,,,
C181,1u 16V,C_0603_1608Metric,74.95,46.15,90,T,,,,
C182,100n,C_0402_1005Metric,76.2,46.45,-90,T,,,,
D1,LED,LED_0402_1005Metric,52.85,27.9,90,T,,,,
D2,LED,LED_0402_1005Metric,67.85,27.9175,-90,T,,,,
D3,LED,LED_0402_1005Metric,37.85,27.9,90,T,,,,
D4,ESD5Zxx,D_SOD-523,13.2,27.9,-90,T,,,,
D5,ESD5Zxx,D_SOD-523,13.2,30.5,90,T,,,,
D6,ESD9B5.0ST5G,D_SOD-923,12,27.2,90,T,,,,
D7,ESD9B5.0ST5G,D_SOD-923,12,31.2,-90,T,,,,
D8,LED,LED_0402_1005Metric,19.55,32.75,-90,T,,,,
D9,LED,LED_0402_1005Metric,18.6,32.75,-90,T,,,,
D10,LED,LED_0402_1005Metric,5.2,38.6,180,T,,,,
D11,FSV330AF,D_SOD-128,19.55,58.85,180,T,,,,
D12,FSV330AF,D_SOD-128,19.4,73.3,180,T,,,,
D13,BAT54S,SOT-23,10.3,11.4,90,T,,,,
D14,BAT54S,SOT-23,26.3,11.3375,90,T,,,,
D15,BAT54S,SOT-23,14.7,13.2,-90,T,,,,
D16,BAT54S,SOT-23,30.7,13.25,-90,T,,,,
D17,ESD9B5.0ST5G,D_SOD-923,13.8725,9.85,0,T,,,,
D18,ESD9B5.0ST5G,D_SOD-923,29.8725,9.85,0,T,,,,
D19,BAT54S,SOT-23,18.1,14.3375,-90,T,,,,
D20,BAT54S,SOT-23,34.1,14.3,-90,T,,,,
D21,ESD9B5.0ST5G,D_SOD-923,20.65,9.9,0,T,,,,
D22,ESD9B5.0ST5G,D_SOD-923,36.65,9.85,0,T,,,,
D23,BAT54S,SOT-23,21.5,14.3375,-90,T,,,,
D24,BAT54S,SOT-23,37.5,14.3,-90,T,,,,
D25,ESD9B5.0ST5G,D_SOD-923,22.5,9.9,180,T,,,,
D26,ESD9B5.0ST5G,D_SOD-923,38.53,9.85,180,T,,,,
D27,BAT54S,SOT-23,42.2,11.45,90,T,,,,
D28,BAT54S,SOT-23,58.2,11.35,90,T,,,,
D29,BAT54S,SOT-23,46.6,13.25,-90,T,,,,
D30,BAT54S,SOT-23,62.6,13.2,-90,T,,,,
D31,ESD9B5.0ST5G,D_SOD-923,45.8,9.85,0,T,,,,
D32,ESD9B5.0ST5G,D_SOD-923,61.8,9.85,0,T,,,,
D33,BAT54S,SOT-23,50,14.3,-90,T,,,,
D34,BAT54S,SOT-23,66,14.3,-90,T,,,,
D35,ESD9B5.0ST5G,D_SOD-923,52.55,9.85,0,T,,,,
D36,ESD9B5.0ST5G,D_SOD-923,68.55,9.85,0,T,,,,
D37,BAT54S,SOT-23,53.4,14.3,-90,T,,,,
D38,BAT54S,SOT-23,69.4,14.3,-90,T,,,,
D39,ESD9B5.0ST5G,D_SOD-923,54.4275,9.85,180,T,,,,
D40,ESD9B5.0ST5G,D_SOD-923,70.4,9.85,180,T,,,,
D41,ESD9B5.0ST5G,D_SOD-923,11.65,84.8,180,T,,,,
D42,ESD9B5.0ST5G,D_SOD-923,27.55,84.8,180,T,,,,
D43,BAT54S,SOT-23,14.3,80.35,90,T,,,,
D44,BAT54S,SOT-23,30.2,80.35,90,T,,,,
D45,ESD9B5.0ST5G,D_SOD-923,9.8,84.8,0,T,,,,
D46,ESD9B5.0ST5G,D_SOD-923,25.7,84.8,0,T,,,,
D47,BAT54S,SOT-23,10.9,78.6,90,T,,,,
D48,BAT54S,SOT-23,26.75,78.5625,90,T,,,,
D49,SD12_SOD323,D_SOD-323,21.8,84.35,180,T,,,,
D50,SD12_SOD323,D_SOD-323,17.25,84.3,0,T,,,,
D51,SD12_SOD323,D_SOD-323,33.1,84.3,0,T,,,,
D52,SD12_SOD323,D_SOD-323,37.7,84.3,180,T,,,,
D53,ESD9B5.0ST5G,D_SOD-923,43.5375,84.8,180,T,,,,
D54,ESD9B5.0ST5G,D_SOD-923,59.35,84.8,180,T,,,,
D55,BAT54S,SOT-23,46.117006,80.33077,90,T,,,,
D56,BAT54S,SOT-23,61.95,80.3,90,T,,,,
D57,ESD9B5.0ST5G,D_SOD-923,41.65,84.8,0,T,,,,
D58,ESD9B5.0ST5G,D_SOD-923,57.45,84.8,0,T,,,,
D59,BAT54S,SOT-23,42.7,78.6,90,T,,,,
D60,BAT54S,SOT-23,58.55,78.6,90,T,,,,
D61,SD12_SOD323,D_SOD-323,53.6,84.3,180,T,,,,
D62,SD12_SOD323,D_SOD-323,49,84.3,0,T,,,,
D63,SD12_SOD323,D_SOD-323,64.85,84.35,0,T,,,,
D64,SD12_SOD323,D_SOD-323,69.45,84.35,180,T,,,,
D65,Inolux_IN-PI554FCH,LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm,76.15,53.25,90,T,,,,
F1,8V 2A,R_1812_4532Metric,4.5,58,0,T,,,,
F2,8V 2A,R_1812_4532Metric,4.5,72.5,0,T,,,,
F3,30mA,R_0603_1608Metric,18.2,10.15,180,T,,,,
F4,30mA,R_0603_1608Metric,34.2,10.15,180,T,,,,
F5,30mA,R_0603_1608Metric,50.1,10.15,180,T,,,,
F6,30mA,R_0603_1608Metric,66.1,10.1,180,T,,,,
F7,30mA,R_0603_1608Metric,14.1,83,180,T,,,,
F8,30mA,R_0603_1608Metric,29.95,83,180,T,,,,
